"","topic","value","filename"
"91","0",0.000127723816910612,"HYG_1945-Jan-v23n1"
"92","0",8.33886358913069e-05,"HYG_1945-Jul-v23n7"
"93","0",0.000127517621764396,"HYG_1945-June-v23n6"
"94","0",0.00148408561792627,"HYG_1945-March-v23n3"
"95","0",3.50360755079308e-05,"HYG_1945-May-v23n5"
"96","0",0.000168053995502096,"HYG_1945-Nov-v23n11"
"97","0",8.61993362808162e-05,"HYG_1945-Oct-v23n10"
"98","0",0.000336142644660338,"HYG_1945-Sept-v23n9"
"99","0",0.000603839847334657,"HYG_1946-Aug-v24n8"
"100","0",0.000452558062054358,"HYG_1946-Dec-v24n12"
"101","0",0.00046341155439935,"HYG_1946-July-v24n7"
"102","0",0.00109218803766675,"HYG_1946-Nov-v24n11"
"103","0",0.000160955078838695,"HYG_1946-Oct-v24n10"
"104","0",0.000430309727341648,"HYG_1946-Sept-v24n9"
"105","0",0.000112344917066948,"HYG_1947-April-v25n4"
"106","0",0.000109792851534902,"HYG_1947-Feb-v25n2"
"107","0",0.000162322274389253,"HYG_1947-Jan-v25n1"
"108","0",0.000101401271718075,"HYG_1947-June-v25n6"
"109","0",0.00230196741981585,"HYG_1947-March-v25n3"
"110","0",0.00798188504892679,"HYG_1947-May-v25n5"
"111","0",0.00244734885276958,"HYG_1948-April-v26n4"
"112","0",0.00108468643946271,"HYG_1948-August-v26n8"
"113","0",0.000511501719133796,"HYG_1948-Dec-v26n12"
"114","0",0.0034079360920557,"HYG_1948-Feb-v26n2"
"115","0",0.000719260191571353,"HYG_1948-Jan-v26n1"
"116","0",0.000517259009094892,"HYG_1948-July-v26n7"
"117","0",0.00144880651354516,"HYG_1948-June-v26n6"
"118","0",0.000505807524724099,"HYG_1948-March-v26n3"
"119","0",0.000699077593701554,"HYG_1948-May-v26n5"
"120","0",0.00143319965404467,"HYG_1948-Nov-v26n11"
"121","0",0.00954281024387272,"HYG_1948-Oct-v26n10"
"122","0",0.000248612094578212,"HYG_1948-Sept-v26n9"
"123","0",0.0023091494075004,"HYG_1949-April-v27n4"
"124","0",3.45469153239812e-05,"HYG_1949-August-v27n8"
"125","0",0.00107623284015822,"HYG_1949-Dec-v27n12"
"126","0",0.000334953586153118,"HYG_1949-Feb-v27n2"
"127","0",0.00128212672576628,"HYG_1949-Jan-v27n1"
"128","0",7.73331402543932e-05,"HYG_1949-July-v27n7"
"129","0",0.00285064068667746,"HYG_1949-June-v27n6"
"130","0",3.48143293121156e-05,"HYG_1949-March-v27n3"
"131","0",0.000775296878194607,"HYG_1949-May-v27n5"
"132","0",0.000754246814639866,"HYG_1949-Nov-v27n11"
"133","0",0.000916592992818134,"HYG_1949-Oct-v27n10"
"134","0",0.00559767927542778,"HYG_1949-Sept-v27n9"
"135","0",0.0130690741859958,"MB_1895_Apr"
"136","0",0.00755304061051405,"MB_1895_Aug"
"137","0",0.0112448783138452,"MB_1895_Dec"
"138","0",0.00172697635665637,"MB_1895_July"
"139","0",0.00918883784592897,"MB_1895_June"
"140","0",0.0513349385650392,"MB_1895_March"
"141","0",0.00690818432978126,"MB_1895_May"
"142","0",0.0262875290190154,"MB_1895_Nov"
"143","0",0.0141933856483318,"MB_1895_Oct"
"144","0",0.00139703459899656,"MB_1895_Sept"
"145","0",0.0451413707723462,"MB_1896_April"
"146","0",0.000172163273682304,"MB_1896_August"
"147","0",0.00557541204523064,"MB_1896_Dec"
"148","0",0.000978192412395573,"MB_1896_Feb"
"149","0",0.000516832856612685,"MB_1896_Jan"
"150","0",0.0455844031720447,"MB_1896_July"
"151","0",0.00318985935030375,"MB_1896_June"
"152","0",0.0136178678039486,"MB_1896_March"
"153","0",0.00107671796188313,"MB_1896_May"
"154","0",0.00150473442015674,"MB_1896_Nov"
"155","0",0.000171506767852375,"MB_1896_Oct"
